,Unnamed: 0,MAF_NAME,BLKID,FULLNAME,TLIDs
17889,17889,N 87th St,080130132122041,N 87th St,[220752766]
17890,17890,Lookout Rd,080130132052065,Lookout Rd,[220759442]
17891,17891,N 107th St,080130132112110,N 107th St,[220759461]
17892,17892,N 107th St,080130132112109,N 107th St,[220759461]
17893,17893,Kenosha Rd,080130132112106,Kenosha Rd,[188220623]
17894,17894,Kenosha Rd,080130128005001,Kenosha Rd,[188220623]
17895,17895,Wedgewood Ave,080130132071043,Wedgewood Ave,[220753948]
17896,17896,22nd Ave,080130133053011,22nd Ave,[188154440]
17897,17897,22nd Ave,080130133053003,22nd Ave,[188154440]
17898,17898,Frontier St,080130133053008,Frontier St,[647477408]
17899,17899,Frontier St,080130133053001,Frontier St,"[647477408, 188154470]"
17900,17900,Clyde Ct,080130133052028,Clyde Ct,[188154465]
17901,17901,Clyde Ct,080130133052008,Clyde Ct,[188154465]
17902,17902,Daley Dr,080130133051006,Daley Dr,"[188154505, 220760241]"
17903,17903,Daley Dr,080130133051005,Daley Dr,"[188154505, 220760241]"
17904,17904,Jamison Pl,080130133051008,Jamison Pl,"[188154524, 188154524]"
17905,17905,Breakwater Dr,080130132071046,Breakwater Dr,[188242662]
17906,17906,Francis St,080130133051010,Francis St,[188154555]
17907,17907,Dunbar Ct,080130133051010,Dunbar Ct,"[188154550, 188154550]"
17908,17908,21st Ave,080130133051014,21st Ave,[220754028]
17909,17909,17th Ave,080130133081000,17th Ave,[220753576]
17910,17910,Bowen St,080130133081000,Bowen St,[220760072]
17911,17911,Bowen St,080130133082004,Bowen St,[220760072]
17912,17912,Lincoln St,080130133061010,Lincoln St,[188154558]
17913,17913,Lincoln St,080130133061008,Lincoln St,[188154543]
17914,17914,Bowen St,080130133061020,Bowen St,"[188155550, 188225803, 188225804]"
17915,17915,Bowen St,080130133061019,Bowen St,[188155550]
17916,17916,Bowen St,080130133061017,Bowen St,"[188225803, 188225804]"
17917,17917,23rd Ave,080130133061021,23rd Ave,[188154562]
17918,17918,Sumner St,080130133052023,Sumner St,[188154581]
17919,17919,Radcliffe Ct,080130132082000,Radcliffe Ct,"[188186936, 188186936]"
17920,17920,Sunset St,080130133025014,Sunset St,"[644248447, 643134389, 643134390]"
17921,17921,Sunset St,080130133023039,Sunset St,"[643134389, 643134390]"
17922,17922,McIntosh Dr,080130132071047,McIntosh Dr,[188154723]
17923,17923,Eddy Ct,080130132071047,Eddy Ct,"[188154725, 188154722]"
17924,17924,Hover St,080130132081000,Hover St,"[188154888, 188154893]"
17925,17925,Hover St,080130133071006,Hover St,[188154888]
17926,17926,Cornell Dr,080130132083010,Cornell Dr,[188154745]
17927,17927,Cornell Dr,080130132083008,Cornell Dr,[188154745]
17928,17928,Mobile St,080130133023043,Mobile St,[188190139]
17929,17929,Humboldt Pl,080130132081015,Humboldt Pl,"[188154850, 188154850]"
17930,17930,Purdue Dr,080130132083018,Purdue Dr,"[220753511, 188154982, 188154971, 188154969, 188154962]"
17931,17931,Purdue Dr,080130132083022,Purdue Dr,"[188154982, 188154971, 188154969, 188154962]"
17932,17932,Ash Ct,080130132083018,Ash Ct,"[188154981, 188154981]"
17933,17933,Hayden Ct,080130132121034,Hayden Ct,[188182777]
17934,17934,N 73rd St,080130132022068,N 73rd St,"[220759620, 220752761]"
17935,17935,N 73rd St,080130132131060,N 73rd St,[220759620]
17936,17936,N 73rd St,080130132022060,N 73rd St,[220752760]
17937,17937,N 81st St,080130132131054,N 81st St,[188222443]
17938,17938,2nd Ave,080130132051000,2nd Ave,[220752570]
17939,17939,2nd Ave,080130132051002,2nd Ave,[220752570]
17940,17940,Niwot Rd,080130132051008,Niwot Rd,"[188221805, 188221806]"
17941,17941,Franklin St,080130132051022,Franklin St,[188161288]
17942,17942,Niwot Rd,080130132051010,Niwot Rd,"[647481799, 188182911]"
17943,17943,Colorado Dr,080130132112062,Colorado Dr,[188165375]
17944,17944,Anna Thomas Pkwy,080130129031030,Anna Thomas Pkwy,[639809315]
17945,17945,Anna Thomas Pkwy,080130129031032,Anna Thomas Pkwy,"[639809315, 625175656]"
17946,17946,Mills St,080130129031027,Mills St,[625175927]
17947,17947,Mills St,080130129031025,Mills St,"[625175927, 625175931]"
17948,17948,McGregor Cir,080130128002010,McGregor Cir,[627164982]
17949,17949,W Baseline Rd,080130129051002,W Baseline Rd,[639809777]
17950,17950,Rawlins Way,080130608003027,Rawlins Way,"[647466007, 647466105]"
17951,17951,Rawlins Way,080130608003018,Rawlins Way,"[647466007, 647466105, 645645105, 645645105]"
17952,17952,Via Appia Way,080130130063015,Via Appia Way,"[647473992, 188230946, 188230945]"
17953,17953,Nautilus Ct,080130129042028,Nautilus Ct,"[188186197, 188186197]"
17954,17954,Cressida Ct,080130129042028,Cressida Ct,"[188186046, 188186046]"
17955,17955,Doric Dr,080130129042054,Doric Dr,[188166733]
17956,17956,Snap Dragon Ct,080130614001025,Snap Dragon Ct,"[188190854, 188190854]"
17957,17957,Cimmaron Pl,080130614001025,Cimmaron Pl,"[188200862, 188200862]"
17958,17958,Huron Peak Dr,080130614001023,Huron Peak Dr,"[188200863, 188200860, 188200866]"
17959,17959,Mc Kinley Ave,080130130034014,Mc Kinley Ave,"[188165714, 188165704]"
17960,17960,Mc Kinley Ave,080130130034023,Mc Kinley Ave,[188165714]
17961,17961,Franklin Ct,080130130041006,Franklin Ct,[188166003]
17962,17962,Franklin Ct,080130130041010,Franklin Ct,[188166003]
17963,17963,NE County Line Rd,080130130041010,,[]
17964,17964,Goose Haven Dr,080130128005045,Goose Haven Dr,[634231136]
17965,17965,Marfell St,080130128003060,Marfell St,"[645919744, 645919719, 188239318, 645919744, 188239318]"
17966,17966,E Emma St,080130608004016,E Emma St,[188167192]
17967,17967,E Elm St,080130129071025,E Elm St,"[635354413, 637351600]"
17968,17968,James Ct,080130609001035,James Ct,"[188186128, 188186128]"
17969,17969,Fern Lake Ct,080130130031041,Fern Lake Ct,"[188238872, 188238872]"
17970,17970,Jasper Peak Ct,080130130031041,Jasper Peak Ct,"[188234567, 188234567]"
17971,17971,Village Cir,080130128004015,Village Cir,"[636029963, 636029963]"
17972,17972,Hays Dr,080130130033032,Hays Dr,[220749111]
17973,17973,W Barberry Ct,080130130033022,W Barberry Ct,"[188173302, 188173302]"
17974,17974,Spruce St,080130130052012,Spruce St,[220749169]
17975,17975,E Elm St,080130129071027,E Elm St,[188167143]
17976,17976,Totara Pl,080130132051012,Totara Pl,"[188191507, 188199275]"
17977,17977,Totara Pl,080130132051011,Totara Pl,"[188191507, 188199275]"
17978,17978,N 79th St,080130132052048,N 79th St,"[220759441, 188176908, 188161346, 188175756, 220752443]"
17979,17979,Mineral Rd,080130132051035,Mineral Rd,[220752422]
17980,17980,Willow Ln,080130132052048,Willow Ln,[188182966]
17981,17981,Sawtooth Ln,080130132052048,Sawtooth Ln,[220752628]
17982,17982,Sawtooth Ln,080130132052024,Sawtooth Ln,[220752628]
17983,17983,N 71st St,080130127084008,N 71st St,"[644244764, 220752434]"
17984,17984,Diagonal Hwy,080130132122041,Diagonal Hwy,[220759623]
17985,17985,9th Ave,080130132083030,9th Ave,[188187060]
17986,17986,Eagle Canyon Cir,080130136012016,Eagle Canyon Cir,"[220754281, 188199930]"
17987,17987,Steamboat Valley Rd,080130136012018,Steamboat Valley Rd,[188187255]
17988,17988,Upper Fifth Ave,080130136012045,Upper Fifth Ave,[188187675]
17989,17989,Spencer St,080130133071008,Spencer St,[188155075]
17990,17990,Spencer St,080130133071000,Spencer St,"[188155075, 188171994]"
17991,17991,14th Ave,080130133071026,14th Ave,[220760006]
17992,17992,15th Ave,080130133071009,15th Ave,[188155083]
17993,17993,15th Ave,080130133071008,15th Ave,[188155083]
17994,17994,11th Ave,080130133072013,11th Ave,[188154997]
17995,17995,12th Ave,080130133071036,12th Ave,[188155126]
17996,17996,Tulip St,080130133072027,Tulip St,[188155219]
17997,17997,Tulip St,080130133072028,Tulip St,[188155219]
17998,17998,Linden St,080130133071012,Linden St,[188155106]
17999,17999,Troxell Ave,080130132121010,Troxell Ave,[188154779]
18000,18000,Gay St,080130133082000,Gay St,[220753572]
18001,18001,11th Ave,080130133072002,11th Ave,[188155268]
18002,18002,Sherman St,080130133081018,Sherman St,[188155195]
18003,18003,Mountain View Ave,080130133081015,Mountain View Ave,[188155840]
18004,18004,Mountain View Ave,080130133081016,Mountain View Ave,[188155840]
18005,18005,11th Ave,080130133072025,11th Ave,[188155224]
18006,18006,Warren Ave,080130133072030,Warren Ave,[188175340]
18007,18007,Warren Ave,080130133072026,Warren Ave,"[188175340, 220760075]"
18008,18008,9th Ave,080130133025005,9th Ave,[188155272]
18009,18009,Sunset St,080130133025011,Sunset St,[188155255]
18010,18010,Briarwood Ln,080130133025008,Briarwood Ln,"[188172336, 188172336]"
18011,18011,24th Ave,080130132073009,24th Ave,[220753962]
18012,18012,24th Ave,080130132073008,24th Ave,[220753962]
18013,18013,Vivian St,080130133024008,Vivian St,[188223702]
18014,18014,Vivian St,080130133024009,Vivian St,[188223702]
18015,18015,Sharpe Pl,080130133083014,Sharpe Pl,[220760054]
18016,18016,Sharpe Pl,080130133083007,Sharpe Pl,[220760054]
18017,18017,Grant St,080130133025020,Grant St,[188155321]
18018,18018,Carolina Ave,080130133025021,Carolina Ave,[188155317]
18019,18019,Carolina Ave,080130133025020,Carolina Ave,[188155317]
18020,18020,3rd Ave,080130133024015,3rd Ave,"[188156372, 188156374]"
18021,18021,Carlton Ave,080130133024014,Carlton Ave,[188155999]
18022,18022,Monarch Rd,080130132051013,Monarch Rd,[188176912]
18023,18023,Glacier View Rd,080130132053015,Glacier View Rd,[188161691]
18024,18024,23rd Ave,080130135053006,23rd Ave,[188205611]
18025,18025,Ute Hwy,080130136012057,Ute Hwy,[627214754]
18026,18026,Ute Hwy,080130136013034,Ute Hwy,"[220761387, 630076394]"
18027,18027,Falcon Dr,080130132071004,Falcon Dr,[188191824]
18028,18028,Fall River Cir,080130135081014,Fall River Cir,[220753797]
18029,18029,Pintail Dr,080130132111057,Pintail Dr,"[220752984, 188199184, 188190144]"
18030,18030,Cumberland Dr,080130135081009,Cumberland Dr,[188183209]
18031,18031,Cumberland Dr,080130135081011,Cumberland Dr,[188183209]
18032,18032,Monarch Ave,080130135081009,Monarch Ave,"[188183213, 188183214]"
18033,18033,Monarch Ave,080130135081022,Monarch Ave,"[188183213, 188183214]"
18034,18034,Monarch Ct,080130135081009,Monarch Ct,"[188183215, 188183215]"
18035,18035,Interlocken Loop,080140311001152,Interlocken Loop,[638263787]
18036,18036,Interlocken Loop,080140311001069,Interlocken Loop,[638263787]
18037,18037,Empire Rd,080130130061035,Empire Rd,"[641289796, 641289796]"
18038,18038,N 96th St,080130129042052,N 96th St,[220750101]
18039,18039,Meadowlark Ln,080130130034008,Meadowlark Ln,"[641290717, 641290718, 641290717, 641290718]"
18040,18040,Corona Ct,080130130031033,Corona Ct,"[188234559, 188234559]"
18041,18041,Skywalker Pt,080130130031033,Skywalker Pt,[188241779]
18042,18042,Skywalker Pt,080130130031037,Skywalker Pt,[188241779]
18043,18043,Stanley Dr,080130128002013,Stanley Dr,"[220751866, 220751867]"
18044,18044,Kolar Ct,080130128002007,Kolar Ct,"[188187505, 188187505]"
18045,18045,Flatiron Meadows Blvd,080130128003062,Flatiron Meadows Blvd,"[645823663, 645823663]"
18046,18046,N 96th St,080130129042025,N 96th St,[647470419]
18047,18047,Jasper Rd,080130128005016,Jasper Rd,"[646263063, 646263064]"
18048,18048,Stone Creek Dr,080130608003013,Stone Creek Dr,"[645645095, 645645096, 645645095, 645645096]"
18049,18049,Dinosaur Dr,080130128003062,Dinosaur Dr,"[645827027, 645827027]"
18050,18050,N 119th St,080130128005066,N 119th St,[220751845]
18051,18051,NE County Line Rd,080130128003004,,[]
18052,18052,Jay Rd,080130128004012,Jay Rd,[188201261]
18053,18053,124th St,080130128002002,124th St,"[646262415, 646262416]"
18054,18054,124th St,080130128002003,124th St,"[646262415, 646262416]"
18055,18055,N 123rd St,080130128002005,N 123rd St,[188236340]
18056,18056,N 111th St,080130128003026,N 111th St,"[646263264, 646263265]"
18057,18057,S McGregor Cir,080130128002016,S McGregor Cir,[627164139]
18058,18058,Meller St,080130128002008,Meller St,[188200213]
18059,18059,Diamond Cir,080130129031032,Diamond Cir,"[646713945, 188199533, 646713945]"
18060,18060,Navajo Trl,080130129031025,Navajo Trl,"[635876942, 635876942]"
18061,18061,Apache Ln,080130129031025,Apache Ln,"[188192986, 188192986]"
18062,18062,Riverton Rd,080130608003013,Riverton Rd,[627561935]
18063,18063,Riverton Rd,080130608003014,Riverton Rd,[627561935]
18064,18064,W Linden St,080130130041014,W Linden St,"[188211064, 636169514]"
18065,18065,W Willow Ct,080130130041014,W Willow Ct,"[188184079, 188184079]"
18066,18066,S Mesa Ct,080130606002011,S Mesa Ct,"[220748012, 220748012]"
18067,18067,Neon Forest Cir,080130132111002,Neon Forest Cir,"[188189622, 188189623]"
18068,18068,Terrace Dr,080130135083013,Terrace Dr,[188183181]
18069,18069,Ionosphere Ct,080130132111034,Ionosphere Ct,[188189642]
18070,18070,Lanyon Dr,080130132083002,Lanyon Dr,[188154876]
18071,18071,Clover Creek Ln,080130132122013,Clover Creek Ln,[188193405]
18072,18072,Clover Creek Ln,080130132122012,Clover Creek Ln,[188193405]
18073,18073,Lincoln St,080130133023006,Lincoln St,[188205062]
18074,18074,Bowen St,080130133023006,Bowen St,[188156382]
18075,18075,Bowen Cir,080130133023032,Bowen Cir,[188223792]
18076,18076,Bowen Cir,080130133023031,Bowen Cir,"[188223792, 188156408]"
18077,18077,Pratt St,080130133022015,Pratt St,[188156438]
18078,18078,Pratt St,080130133022014,Pratt St,[188156438]
18079,18079,Twin Peaks Mall,080130132102031,Twin Peaks Mall,"[220752974, 220759747]"
18080,18080,Industrial Cir,080130132102029,Industrial Cir,"[188155460, 642558535]"
18081,18081,Industrial Cir,080130132102031,Industrial Cir,[188155460]
18082,18082,S Sunset St,080130132102032,S Sunset St,"[220759744, 188155446]"
18083,18083,Miller Dr,080130132102052,Miller Dr,[220759735]
18084,18084,Miller Dr,080130132102042,Miller Dr,[220759735]
18085,18085,S Sherman St,080130132102044,S Sherman St,[188155509]
18086,18086,S Sherman St,080130132102048,S Sherman St,[188155509]
18087,18087,Kempton Ct,080130132102048,Kempton Ct,"[188155499, 188155499]"
18088,18088,S Lincoln St,080130132102021,S Lincoln St,[188156503]
18089,18089,S Lincoln St,080130132102022,S Lincoln St,[188156503]
18090,18090,S Judson St,080130132102049,S Judson St,"[188192636, 188192635]"
18091,18091,S Judson St,080130132102048,S Judson St,"[188192636, 188192635]"
18092,18092,N 115th St,080130132011090,N 115th St,[188155785]
18093,18093,N 115th St,080130132011091,N 115th St,[188155785]
18094,18094,Collyer St,080130135052000,Collyer St,[188155670]
18095,18095,Collyer St,080130135053000,Collyer St,[188155670]
18096,18096,Parkridge Ave,080130132011107,Parkridge Ave,"[188155539, 188155537]"
18097,18097,Yeager Pl,080130133062009,Yeager Pl,"[188155654, 188155654]"
18098,18098,Kelly Pl,080130133061005,Kelly Pl,[188155626]
18099,18099,Kelly Pl,080130133061001,Kelly Pl,[188155626]
18100,18100,Main St,080130133061012,Main St,[188155642]
18101,18101,Main St,080130135052008,Main St,[188155642]
18102,18102,Corey St,080130135052004,Corey St,[642890871]
18103,18103,21st Ave,080130133062010,21st Ave,[188177912]
18104,18104,21st Ave,080130133062002,21st Ave,"[188177912, 188155648]"
18105,18105,Countess Ct,080130133062030,Countess Ct,[188155812]
18106,18106,Clark Way,080130135053000,Clark Way,"[188155749, 188155749]"
18107,18107,Newy Pl,080130135053000,Newy Pl,"[188155745, 188155745]"
18108,18108,21st Ave,080130135052006,21st Ave,[188225939]
18109,18109,Kimbark St,080130135052011,Kimbark St,[188155703]
18110,18110,Kimbark St,080130135052014,Kimbark St,[188155703]
18111,18111,Collyer St,080130135052011,Collyer St,[188155720]
18112,18112,Collyer St,080130135053011,Collyer St,"[188155720, 188155722]"
18113,18113,Horizon Pkwy,080130132071012,Horizon Pkwy,[188182658]
18114,18114,Horizon Pkwy,080130132073027,Horizon Pkwy,[220753946]
18115,18115,Mapleton Ct,080130132073003,Mapleton Ct,"[188182816, 188182816]"
18116,18116,Doral Dr,080130132083013,Doral Dr,"[188187073, 188187073, 188187072, 188187068]"
18117,18117,Champion Cir,080130132083029,Champion Cir,"[220753490, 220753489]"
18118,18118,Conifer Ct,080130132051015,Conifer Ct,"[188161313, 188161313]"
18119,18119,Quail Rd,080130132123029,Quail Rd,"[640384231, 640384232, 188199437]"
18120,18120,Quail Rd,080130132123031,Quail Rd,"[640384231, 640384232]"
18121,18121,Clover Basin Dr,080130132122000,Clover Basin Dr,[220752953]
18122,18122,Clover Basin Dr,080130132122004,Clover Basin Dr,[188203224]
18123,18123,Jasper Dr,080130136011071,Jasper Dr,[188197882]
18124,18124,Maggie St,080130134022014,Maggie St,[220753352]
18125,18125,Maggie St,080130134022015,Maggie St,[220753352]
18126,18126,Hover St,080130132121001,Hover St,"[188180703, 220753180]"
18127,18127,Teal Cir,080130132121003,Teal Cir,[220759849]
18128,18128,Teal Cir,080130132121001,Teal Cir,[220759849]
18129,18129,Collyer St,080130135052002,Collyer St,[188155686]
18130,18130,17th Ave,080130135032008,17th Ave,[220760086]
18131,18131,17th Ave,080130135051009,17th Ave,"[220760086, 188156084]"
18132,18132,23rd Ave,080130135053004,23rd Ave,[188155694]
18133,18133,23rd Ave,080130135053002,23rd Ave,[188155694]
18134,18134,Collyer St,080130135052013,Collyer St,[188155722]
18135,18135,Holiday Dr,080130135032005,Holiday Dr,[188156105]
18136,18136,Holiday Dr,080130135032011,Holiday Dr,[188156105]
